,Gender,Age,Attendance
3135,0,64,0.83
6103,0,60,0.88
8197,1,62,0.47
8392,1,65,0.86
3861,0,60,0.7
6426,0,37,0.5
5183,1,42,0.95
486,0,56,0.43
2842,1,44,0.8
506,1,44,0.85
7706,0,49,0.71
2755,1,42,0.74
5306,0,44,0.83
5874,1,44,0.86
794,0,15,0.79
9744,1,56,0.74
1738,1,56,0.71
8952,1,47,0.71
4083,0,25,0.71
5755,1,50,0.98
3470,0,61,0.86
9802,0,18,0.51
5364,0,67,0.73
7272,1,38,0.61
6011,1,55,0.95
9012,1,51,0.89
9750,1,58,0.96
2389,1,51,0.75
2736,0,44,0.5
9249,0,47,0.89
8593,0,56,0.64
8773,1,29,0.69
808,0,39,0.88
3411,1,59,0.7
1231,0,52,0.87
9276,1,51,0.87
2868,0,44,0.82
1991,0,53,0.81
5096,0,47,0.75
703,0,57,0.72
5508,0,63,0.35
3961,1,49,0.55
1246,0,78,0.94
2714,1,38,0.9
5844,0,35,0.8
8981,0,56,0.76
4082,0,8,0.8
233,0,61,0.88
4758,1,38,0.77
1277,1,52,0.79
9370,0,38,0.91
5213,1,57,0.73
9878,0,52,0.81
3293,1,41,0.84
8770,0,74,0.82
6608,1,52,0.69
7423,1,34,0.78
6487,0,58,0.72
4825,0,63,0.46
7401,1,34,0.79
7001,0,61,0.83
349,1,48,0.59
1666,0,40,0.75
403,1,34,0.56
8251,0,56,0.87
6209,1,56,0.78
4320,0,53,0.55
8672,0,62,0.46
5633,1,63,0.84
8394,1,35,0.89
1584,1,53,0.95
5157,1,53,0.69
2594,0,59,0.41
5650,1,52,0.92
1766,1,34,0.59
2886,1,46,0.68
3969,0,50,0.8
6242,0,22,0.77
6320,0,60,0.9
5663,1,36,0.71
1974,1,42,0.77
6313,1,51,0.62
2413,1,41,0.83
1355,0,43,0.7
1042,1,38,0.74
3189,0,49,0.35
9751,1,45,0.75
5636,0,38,0.65
7128,0,29,0.83
416,1,40,0.84
8653,1,64,0.76
8125,1,59,0.72
5,1,74,0.73
7008,0,15,0.79
1819,0,53,0.78
9850,1,40,0.94
7689,1,43,0.86
4465,0,57,0.75
8712,1,39,0.83
8220,0,58,0.88
2611,1,50,0.91
8756,1,53,0.67
8211,0,68,0.35
3581,1,20,0.95
297,1,39,0.93
4474,1,45,0.85
1497,0,72,0.81
8527,0,17,0.58
5482,0,39,0.76
1862,0,67,0.97
996,0,37,0.92
4964,1,71,0.83
6639,1,67,0.75
9710,0,49,0.66
6289,0,75,0.61
524,1,63,0.65
8620,1,30,0.66
5339,1,24,0.85
5450,1,50,0.86
8706,0,68,0.93
757,1,59,0.61
1412,1,56,0.81
5037,1,82,0.87
1665,0,43,0.61
5328,0,63,0.65
7579,0,61,0.52
9200,0,23,0.85
9700,0,46,0.79
9783,1,48,0.44
3741,0,45,0.63
5355,0,40,0.66
739,1,49,0.88
7617,1,37,0.82
8081,0,43,0.57
548,1,38,0.64
304,1,61,0.91
7441,0,70,0.46
4907,1,49,0.95
4669,0,44,0.61
9053,1,53,0.45
7638,0,69,0.73
611,0,45,0.72
9309,0,22,0.77
2967,0,57,0.46
9034,1,42,0.83
5344,1,46,0.97
1662,0,30,0.78
1072,0,61,0.61
1387,1,58,0.79
997,1,34,0.7
5901,0,58,0.35
8318,0,56,0.85
3803,0,41,0.82
985,0,50,0.61
410,0,47,0.86
3636,1,51,0.87
7096,0,49,0.45
3819,1,39,0.78
2753,0,50,0.86
4882,0,48,0.83
8505,1,37,0.71
6757,1,54,0.75
2637,0,33,0.36
5231,1,49,0.8
973,1,47,0.86
1374,1,51,0.79
5765,1,48,0.92
7780,1,77,0.8
5648,0,33,0.33
9274,0,41,0.88
1084,0,53,0.71
4048,0,47,0.85
5816,0,61,0.72
8458,1,60,0.85
8691,0,35,0.69
4684,0,50,0.66
8794,1,18,0.55
7154,0,44,0.74
1791,1,44,0.77
1558,0,35,0.63
2538,1,46,0.68
6537,0,30,0.87
2540,1,9,0.67
7584,1,61,0.52
2169,1,65,0.88
5882,0,35,0.86
636,0,56,0.55
2231,0,50,0.75
81,1,29,0.63
3147,0,37,0.6
4168,1,47,0.77
3630,1,32,0.6
9346,0,69,0.66
5420,0,11,0.48
9601,1,43,0.72
7313,1,82,0.78
9604,0,44,0.49
212,1,53,0.48
2194,1,64,0.8
5488,1,38,0.64
883,1,49,0.8
1384,0,53,0.4
1561,0,59,0.66
4238,1,53,0.79
756,1,62,0.69
9392,0,39,0.77
8574,1,59,0.66
4156,0,67,0.25
6555,1,24,0.92
6933,0,62,0.71
1023,1,68,0.78
2534,0,59,0.52
395,0,76,0.82
9628,0,81,0.91
8290,0,37,0.68
1345,1,46,0.9
8992,0,46,0.89
3665,1,29,0.57
1013,0,33,0.77
6895,0,45,0.73
8158,1,48,0.75
9649,0,30,0.71
2437,1,41,0.78
5130,1,49,0.52
6701,1,52,0.72
6731,0,76,0.93
5767,1,37,0.73
9189,1,62,0.99
3053,1,67,0.39
9164,0,48,0.82
6690,0,25,0.89
7454,1,56,0.99
8100,1,61,0.88
7094,1,35,0.8
8479,1,42,0.44
5179,0,36,0.91
5137,0,58,0.69
1889,0,56,0.92
7457,0,73,0.78
1626,0,4,0.62
8258,0,68,0.37
698,0,54,0.51
1881,0,47,0.69
1771,1,40,0.79
7150,1,63,0.95
7121,1,35,0.56
6551,0,48,0.68
9185,1,31,0.83
445,0,57,0.63
6823,0,43,0.88
1399,1,28,0.81
7793,0,44,0.75
2011,1,51,0.53
242,0,42,0.8
6222,0,40,0.59
7752,1,43,0.73
7064,1,39,0.71
9728,1,46,0.83
9282,0,49,0.82
7103,1,46,0.93
6873,1,51,0.93
6890,0,50,0.46
3607,1,50,0.96
4455,1,28,0.85
7908,0,57,0.5
8334,1,56,0.78
4278,0,51,0.47
7568,1,29,0.67
451,1,39,0.81
5928,1,59,0.88
1625,1,65,0.37
8932,1,21,0.92
4260,0,79,0.74
501,1,96,0.97
7828,1,59,0.66
1621,0,34,0.74
6545,1,42,0.79
5660,1,16,0.82
70,0,46,0.21
2130,1,33,0.89
3504,0,71,0.72
3663,0,70,0.62
7332,0,45,0.98
196,0,53,0.87
8323,1,23,0.83
5988,1,26,0.96
9070,1,42,0.88
7839,1,48,0.72
6993,0,57,0.78
8816,1,46,0.48
8273,1,81,0.8
6624,1,64,0.66
117,0,47,0.73
2990,0,37,0.62
8248,1,37,0.97
2483,1,49,0.96
4524,0,47,0.87
9220,0,24,0.76
2991,1,52,0.56
6200,1,65,0.92
6306,0,53,0.63
2415,1,34,0.87
4304,0,45,0.61
3788,0,40,0.87
632,1,73,0.51
8308,1,57,0.93
4317,0,30,0.58
2837,0,72,0.71
620,0,38,0.56
4034,1,51,0.76
4748,1,51,0.71
9368,0,58,0.91
5739,1,65,0.95
1298,0,70,0.6
8748,0,43,0.92
4425,1,66,0.93
8033,0,51,0.65
9004,0,42,0.81
7893,1,50,0.8
2667,0,56,0.82
6453,0,52,0.87
2840,1,40,0.67
5789,0,45,0.79
6527,1,56,0.47
4865,0,42,0.51
9135,1,35,0.75
6596,0,30,0.66
6911,1,81,0.76
367,0,56,0.31
6986,1,72,0.47
4206,1,61,0.81
453,1,62,0.77
3242,1,73,0.91
5126,0,29,0.88
5459,1,28,0.95
4649,0,23,0.49
6964,0,45,0.75
7180,0,57,0.52
3905,0,50,0.63
3676,1,51,0.96
9016,1,65,0.86
7482,1,76,0.76
2246,1,51,0.97
8847,1,41,0.9
3239,0,47,0.47
4380,0,51,0.72
3308,1,48,0.86
8171,1,65,0.69
8943,0,57,0.75
1918,0,54,0.71
1020,0,50,0.21
6740,0,60,0.92
5181,1,35,0.32
5194,0,43,0.7
6091,1,54,0.47
4673,1,55,0.56
7626,1,32,0.67
5131,0,41,0.91
795,1,54,0.81
6370,1,56,0.87
6126,1,46,0.79
6229,0,25,0.78
4078,1,55,0.88
7749,0,51,0.33
9860,0,76,0.95
4098,0,59,0.89
5625,0,30,0.7
1807,1,34,0.29
6909,1,58,0.86
4777,0,53,0.82
1017,1,58,0.52
1884,1,62,0.9
7415,1,46,0.71
6609,0,60,0.48
7126,1,52,0.86
3916,1,21,0.66
9358,0,11,0.84
5198,0,39,0.76
3712,1,34,0.74
7335,1,67,0.76
206,0,24,0.88
3900,1,37,0.59
8767,0,37,0.75
2803,1,34,0.63
1877,0,38,0.42
880,0,55,0.57
4198,0,39,0.83
9584,0,39,0.64
5512,1,20,0.91
1357,1,69,0.79
6748,0,46,0.78
2275,1,52,0.92
6253,1,69,0.98
6941,0,38,0.56
3385,0,30,0.97
7021,0,48,0.91
8966,0,71,0.76
682,1,66,0.54
9378,0,29,0.52
2890,0,43,0.88
86,1,56,0.96
6291,1,48,0.9
6956,0,52,0.82
9067,0,44,0.68
6095,1,84,0.84
750,0,55,0.91
4452,0,68,0.89
5729,1,40,0.75
3924,0,21,0.72
9446,0,61,0.7
1245,1,38,0.89
7984,0,42,0.8
8774,1,36,0.6
8536,1,34,0.55
6908,1,45,0.68
6819,0,64,0.74
1364,1,47,0.74
3944,1,55,0.7
3750,0,57,0.56
6938,1,71,0.66
7412,1,41,0.69
2075,0,47,0.59
3394,1,25,0.9
6235,0,58,0.24
7567,0,59,0.85
9154,1,59,0.85
1719,1,55,0.86
2861,0,31,0.9
238,1,35,0.88
2352,0,42,0.68
5649,0,39,0.71
8434,1,58,0.54
5637,0,50,0.74
322,0,50,0.94
6120,0,46,0.9
8005,0,57,0.59
6715,1,42,0.51
7198,1,61,0.95
1826,1,22,0.81
2375,0,59,0.79
9227,0,43,0.94
5299,1,44,0.86
4626,0,61,0.76
3915,1,93,0.65
534,1,15,0.86
7402,1,34,0.75
8456,0,33,0.65
2831,0,69,0.69
9292,1,59,0.86
392,1,24,0.45
4261,0,57,0.75
3593,0,30,0.77
5738,1,49,0.59
1999,0,39,0.83
4912,1,46,0.52
8714,0,24,0.75
4376,1,46,0.85
1026,0,85,0.95
4653,0,47,0.91
3511,0,59,0.71
8876,1,43,0.77
2156,0,49,0.77
3480,1,44,0.72
1800,1,73,0.86
1016,1,68,0.6
9856,0,56,0.56
6307,0,35,0.85
3538,1,39,0.51
8685,1,73,0.91
5892,0,77,0.68
3823,1,54,0.9
3816,0,43,0.79
3451,1,72,0.73
262,0,57,0.69
846,0,71,0.87
6137,1,40,0.37
4353,1,22,0.61
3590,0,27,0.62
7825,0,26,0.63
7350,1,33,0.89
4086,1,68,0.87
1238,0,62,0.75
2797,0,54,0.68
1146,1,45,0.81
1642,1,32,0.48
3343,0,22,0.78
5864,1,60,0.89
6960,1,56,0.64
5714,0,94,0.59
7135,1,45,0.84
5787,0,51,0.82
3667,1,36,0.86
8755,1,26,0.82
4389,0,30,0.42
5340,1,42,0.62
9560,0,36,0.54
5323,1,50,0.79
1453,1,42,0.91
1697,1,49,0.79
6999,1,47,0.51
7214,1,77,0.78
9208,0,31,0.77
8292,1,39,0.83
3662,0,98,0.77
2429,1,59,0.84
5360,0,65,0.61
7152,0,56,0.57
1905,1,45,0.98
4721,0,56,0.69
5345,0,52,0.86
6018,1,37,0.64
6257,0,17,0.82
8728,0,77,0.68
8370,1,56,0.84
4970,0,70,0.53
9042,0,37,0.76
2555,1,51,0.65
8499,0,41,0.65
3898,0,67,0.93
2146,0,50,0.55
9692,1,37,0.88
8006,1,50,0.95
3246,1,31,0.88
7353,1,57,0.96
4342,1,40,0.84
9789,1,65,0.74
1549,1,52,0.63
5515,0,51,0.93
4996,1,27,0.93
5533,1,43,0.86
7373,1,27,0.96
4556,0,76,0.95
8369,0,49,0.85
6189,0,33,0.84
8797,0,38,0.75
4963,1,41,0.87
8180,1,69,0.94
7524,1,37,0.76
6480,1,50,0.74
4652,0,43,0.52
8549,0,31,0.75
993,0,41,0.86
5736,1,38,0.71
1054,0,38,0.81
9444,0,47,0.69
8925,1,60,0.82
9618,0,28,0.79
2998,0,54,0.89
5265,0,46,0.88
790,1,57,0.72
9590,1,12,0.89
934,1,50,0.73
8517,1,49,0.81
6523,0,57,0.9
4002,1,32,0.84
1783,1,40,0.72
8423,0,34,0.88
1734,0,39,0.8
700,0,44,0.88
3872,1,64,0.63
7372,0,50,0.48
344,0,54,0.82
4797,0,31,0.92
5240,0,68,0.58
4852,1,56,0.74
1081,1,54,0.8
3644,1,36,0.87
6164,1,79,0.89
3037,0,51,0.51
7007,1,44,0.84
6107,1,46,0.9
7657,1,26,0.8
6084,1,12,0.74
323,0,79,0.96
9463,1,35,0.82
3896,1,67,0.88
2268,0,29,0.91
2220,0,51,0.77
6940,1,61,0.82
4044,1,47,0.9
3777,1,38,0.9
1878,0,52,0.61
6617,1,56,0.44
7092,0,34,0.63
719,0,39,0.43
1175,0,42,0.63
4712,1,64,0.6
3876,1,35,0.89
777,1,41,0.67
2427,1,46,0.85
9845,1,26,0.68
8909,1,42,0.83
1385,1,54,0.91
432,0,48,0.7
6097,0,72,0.51
2636,1,59,0.69
2473,0,42,0.62
450,1,80,0.96
4158,0,68,0.67
2893,0,34,0.89
3273,1,46,0.92
9192,1,54,0.36
6153,1,41,0.78
2565,0,68,0.7
4073,1,31,0.89
2696,1,67,0.95
3420,1,50,0.85
417,1,73,0.51
2746,0,72,0.8
8997,0,43,0.54
3234,1,72,0.85
4853,1,55,0.51
8971,1,92,0.78
9182,1,40,0.87
3377,0,54,0.6
1039,1,42,0.72
7296,0,38,0.88
2851,1,55,0.58
5795,1,43,0.89
5900,0,68,0.65
6303,1,69,0.78
4935,0,54,0.54
7446,1,65,0.93
9816,0,71,0.37
4444,1,82,0.69
3811,0,6,0.6
6399,0,21,0.66
2927,1,17,0.82
3974,1,55,0.87
1833,1,41,0.72
1942,0,40,0.84
6732,0,73,0.46
2241,1,68,0.92
3661,0,78,0.78
701,0,51,0.74
2426,0,63,0.58
133,1,76,0.47
3341,0,23,0.38
2470,1,64,0.7
270,1,64,0.65
7922,1,43,0.75
1398,0,48,0.91
9183,1,53,0.82
4739,0,48,0.79
4936,0,33,0.71
2866,1,56,0.58
1839,1,52,0.93
1019,1,39,0.81
2610,1,47,0.65
960,1,36,0.57
5863,1,24,0.64
3390,0,52,0.68
5899,1,51,0.68
7088,0,32,0.35
2142,1,45,0.61
1351,1,40,0.59
9839,1,65,0.99
8270,1,42,0.81
5031,1,44,0.73
7688,0,13,0.74
1579,0,33,0.65
4866,0,44,0.89
2292,0,44,0.74
1927,1,64,0.64
2193,0,24,0.62
3658,1,51,0.87
1215,1,63,0.82
2855,0,41,0.72
9507,0,62,0.73
2966,1,63,0.84
1456,0,50,0.88
4502,1,53,0.54
2945,0,71,0.56
5543,1,54,0.59
8631,1,51,0.77
9749,1,34,0.77
9369,1,53,0.82
9470,1,48,0.9
244,0,60,0.41
9611,0,46,0.93
1393,0,37,0.43
434,1,42,0.94
8768,1,56,0.63
9319,0,48,0.73
6759,1,39,0.75
6369,1,64,0.77
6192,0,53,0.79
657,1,41,0.67
477,0,57,0.32
2162,1,33,0.75
4807,0,35,0.84
6565,0,54,0.97
6174,0,49,0.67
2685,1,65,0.96
495,1,48,0.88
7143,1,49,0.54
6433,1,26,0.63
5549,1,52,0.92
8038,1,44,0.92
894,0,46,0.7
1272,0,46,0.89
8213,1,49,0.42
7616,0,32,0.27
6431,1,32,0.83
907,0,56,0.81
4846,0,30,0.91
563,1,50,0.71
8347,1,39,0.71
4382,0,67,0.68
2879,1,40,0.83
7440,1,27,0.71
6499,0,58,0.73
19,1,48,0.59
2060,0,37,0.37
1709,1,43,0.62
123,1,55,0.71
5043,1,42,0.92
9686,0,65,0.78
839,1,76,0.74
7138,1,49,0.73
2392,0,19,0.83
5058,0,53,0.79
6504,1,71,0.77
8418,0,49,0.49
4874,1,64,0.8
7556,1,64,0.64
2212,1,42,0.86
857,0,25,0.76
9204,1,40,0.79
4063,1,76,0.47
4202,0,54,0.83
1236,0,49,0.25
2699,1,49,0.9
9312,1,59,0.88
4822,0,50,0.65
3174,0,52,0.86
3488,1,51,0.59
4125,0,54,0.7
4934,1,53,0.91
5790,0,68,0.85
5500,0,35,0.46
5241,0,61,0.41
275,0,65,0.82
5546,0,33,0.66
2578,0,54,0.85
4193,1,57,0.94
4136,0,25,0.87
2632,0,58,0.92
8366,1,37,0.66
329,0,40,0.87
6821,1,33,0.58
3371,1,39,0.68
4205,1,56,0.56
3044,1,65,0.88
3643,0,47,0.96
3140,0,39,0.45
4892,0,67,0.3
3696,0,26,0.24
3904,0,13,0.47
9655,0,51,0.63
6683,0,56,0.93
8175,1,65,0.7
570,1,64,0.82
8104,1,51,0.91
1865,0,63,0.45
9400,1,45,0.99
5831,1,60,0.83
7709,1,58,0.66
6917,0,43,0.68
2190,1,49,0.4
6417,0,34,0.69
9687,1,25,0.92
3099,1,40,0.84
4169,1,54,0.79
2591,0,70,0.67
8339,1,38,0.82
6958,1,42,0.77
5923,0,66,0.86
3408,1,48,0.7
8780,1,69,0.83
610,0,83,0.65
9877,1,48,0.83
6860,0,43,0.64
560,1,56,0.78
435,1,34,0.74
1596,1,36,0.85
2765,1,55,0.81
9619,0,57,0.99
7069,0,44,0.71
7322,1,22,0.66
3792,0,38,0.77
8320,0,75,0.58
5818,0,58,0.85
6834,0,53,0.85
7608,0,52,0.64
8463,0,48,0.75
7037,0,33,0.74
9748,1,44,0.83
5471,1,61,0.54
661,1,72,0.76
8080,0,44,0.68
9506,1,73,0.77
100,0,58,0.75
7903,0,51,0.73
4986,1,48,0.37
9718,1,25,0.76
5485,0,27,0.67
9806,0,61,0.42
3210,1,53,0.77
2821,1,33,0.63
981,0,46,0.87
5763,1,84,0.89
7628,0,78,0.5
2343,0,46,0.72
9304,0,58,0.53
9091,0,35,0.44
4489,1,43,0.68
6661,0,54,0.57
5845,1,63,0.79
1240,1,63,0.49
5646,0,61,0.73
5830,0,69,0.75
9360,1,57,0.77
3849,0,56,0.81
788,1,48,0.4
5238,1,48,0.82
3026,1,56,0.67
7202,0,28,0.89
9704,0,27,0.32
2420,0,28,0.97
6720,1,68,0.88
4359,0,24,0.66
2531,0,58,0.54
5853,0,27,0.76
2882,1,35,0.69
980,1,54,0.6
5425,1,25,0.66
3988,0,62,0.97
6193,1,70,0.86
6391,1,79,0.62
3162,0,24,0.6
5089,1,54,0.82
6150,1,60,0.78
205,1,45,0.82
1375,0,36,0.77
1006,1,28,0.76
466,0,4,0.74
5749,1,60,0.54
7156,1,57,0.66
4159,1,46,0.94
2216,0,59,0.65
5834,1,46,0.78
9334,1,62,0.67
5229,1,97,0.64
6627,0,37,0.47
8635,0,53,0.4
6441,0,45,0.89
3334,0,51,0.83
2980,0,65,0.83
1630,0,19,0.59
3736,1,52,0.42
2105,0,48,0.89
1352,0,44,0.56
735,0,48,0.72
2498,1,52,0.78
776,0,36,0.9
8426,0,37,0.75
5106,1,51,0.76
5129,1,47,0.8
9339,1,61,0.71
9322,1,56,0.91
2186,1,68,0.88
2860,1,66,0.43
1866,1,33,0.91
9114,1,77,0.87
2902,0,71,0.6
9485,1,50,0.87
5139,1,44,0.91
4794,0,18,0.74
2289,0,51,0.62
2366,1,65,0.81
5283,1,34,0.76
1650,1,53,0.77
3109,1,62,0.85
7583,0,49,0.51
6056,1,27,0.52
772,1,54,0.56
7442,0,52,0.49
8162,0,45,0.91
518,1,50,0.75
6807,0,39,0.67
9831,1,61,0.97
3715,0,44,0.71
7060,0,59,0.39
6579,1,44,0.54
1448,0,51,0.97
8959,1,68,0.42
6583,0,66,0.43
3125,1,23,0.81
3052,1,24,0.94
2767,1,47,0.8
6256,1,39,0.76
1107,0,26,0.79
2948,0,80,0.44
1796,0,63,0.75
8841,1,38,0.8
6099,1,52,0.77
5191,1,42,0.83
9462,0,56,0.61
3405,1,74,0.85
5833,0,23,0.86
4112,1,39,0.56
4341,1,25,0.87
5665,1,41,0.75
1360,0,45,0.64
1061,0,47,0.89
5989,0,69,0.79
4241,0,82,0.44
5117,0,72,0.91
190,1,64,0.72
6032,0,64,0.58
4580,1,51,0.97
8453,0,61,0.4
8860,1,49,0.69
8813,0,67,0.7
1370,1,42,0.88
6789,1,49,0.78
9405,0,53,0.64
9576,0,27,0.46
5435,1,54,0.76
6390,0,49,0.39
110,0,26,0.51
5978,0,40,0.57
3738,1,65,0.83
1055,0,61,0.33
3502,0,30,0.69
789,0,61,0.71
6952,0,64,0.57
9323,0,32,0.73
12,0,54,0.58
4328,0,69,0.71
6432,0,45,0.61
5321,1,26,0.83
4786,0,49,0.81
6204,0,94,0.62
2928,0,69,0.63
1914,0,19,0.69
5701,0,51,0.83
8019,1,83,0.46
6803,1,48,0.86
4461,1,42,0.62
7768,0,33,0.87
6134,1,63,0.81
933,0,35,0.81
5141,1,62,0.86
5832,1,66,0.79
5281,1,48,0.92
9486,1,43,0.73
2501,0,53,0.62
37,1,37,0.83
1560,0,56,0.41
4108,0,36,0.89
7714,1,53,0.93
8110,0,55,0.74
7421,1,48,0.85
8141,0,52,0.89
5099,0,47,0.79
2457,1,45,0.81
1021,0,71,0.87
4932,1,29,0.6
5352,0,50,0.91
8231,0,40,0.89
2839,0,39,0.66
8225,0,37,0.88
7057,1,47,0.46
1284,1,43,0.77
3134,0,35,0.75
4058,1,39,0.82
5035,1,56,0.93
8297,0,44,0.78
3767,0,58,0.84
104,1,46,0.69
3392,1,51,0.53
7863,0,36,0.64
1268,1,78,0.82
4615,0,35,0.51
4612,0,52,0.55
4724,0,56,0.42
926,1,38,0.76
663,1,26,0.76
1541,0,47,0.95
8758,0,44,0.97
6130,0,50,0.49
4143,1,61,0.97
3359,1,28,0.71
8285,0,63,0.86
3317,1,36,0.81
3197,0,35,0.66
6117,1,59,0.86
2207,1,62,0.72
7216,0,74,0.62
9533,0,49,0.89
8433,0,33,0.81
7268,1,17,0.87
9554,1,36,0.53
3865,1,69,0.74
678,1,65,0.6
7432,0,39,0.86
8974,0,56,0.57
165,1,56,0.6
6630,0,31,0.92
8897,0,51,0.42
2442,1,34,0.61
2032,0,53,0.4
5302,1,33,0.77
8904,1,11,0.76
6799,1,52,0.43
1606,0,20,0.73
4913,0,39,0.97
230,1,56,0.66
9643,1,47,0.81
6554,0,52,0.46
8828,0,32,0.81
9583,0,42,0.48
1557,0,31,0.9
6663,0,57,0.41
7520,1,56,0.78
3483,0,38,0.91
6002,0,68,0.87
5041,1,55,0.89
1648,1,51,0.45
7742,0,60,0.88
1926,0,72,0.53
5442,1,41,0.68
5478,1,63,0.58
9811,0,46,0.81
1850,0,51,0.78
3762,1,53,0.82
885,0,46,0.42
8011,1,73,0.7
8464,0,45,0.58
5647,1,50,0.88
2308,0,71,0.92
7312,0,83,0.75
7763,0,46,0.66
4999,1,40,0.77
3233,1,34,0.83
6558,1,52,0.42
9150,0,57,0.68
4107,1,39,0.8
4026,1,60,0.86
4113,1,74,0.74
5756,1,36,0.75
6896,1,65,0.55
2155,0,41,0.71
3985,1,71,0.81
9416,1,75,0.4
966,0,32,0.84
3276,1,43,0.57
579,0,45,0.85
4115,1,34,0.91
8174,0,58,0.53
6817,0,46,0.43
4617,0,67,0.48
770,1,95,0.71
974,0,39,0.56
1765,0,35,0.93
4949,0,37,0.44
63,1,62,0.82
3414,0,53,0.49
6943,1,60,0.68
3152,1,40,0.91
494,1,50,0.85
7917,0,47,0.86
5758,0,39,0.68
2548,0,65,0.82
4040,1,68,0.43
3292,0,58,0.62
3486,0,61,0.64
5190,0,46,0.3
5593,0,48,0.92
8743,1,39,0.91
8239,0,34,0.56
1324,0,65,0.84
4697,0,59,0.73
5680,1,53,0.84
9398,0,43,0.79
2318,0,31,0.87
4182,0,61,0.84
6877,0,33,0.82
8382,0,24,0.73
1724,1,65,0.78
2138,0,42,0.92
2264,0,66,0.85
7803,0,43,0.43
480,1,76,0.89
4705,1,23,0.44
8360,0,52,0.61
2204,0,52,0.81
7840,0,49,0.9
8474,1,59,0.79
3194,1,66,0.85
2139,1,55,0.8
1044,1,44,0.83
5502,1,21,0.82
4144,1,57,0.45
5783,0,28,0.83
7666,0,34,0.52
769,1,31,0.86
4099,1,40,0.84
1419,0,36,0.63
9683,1,78,0.89
9491,1,52,0.93
9707,1,43,0.82
5100,0,34,0.71
8567,1,57,0.59
5061,1,48,0.64
5209,1,32,0.88
626,1,53,0.37
5481,0,80,0.85
8067,0,43,0.5
4249,1,37,0.93
8969,1,66,0.91
638,0,38,0.8
5017,1,54,0.59
1552,1,39,0.53
26,0,25,0.83
7557,1,68,0.89
8669,1,54,0.86
9503,0,58,0.84
8443,1,41,0.85
4983,0,71,0.66
5674,1,48,0.73
3954,0,49,0.59
8472,0,60,0.64
6741,0,50,0.83
8713,1,79,0.71
393,0,44,0.52
1634,0,16,0.7
7699,0,35,0.58
3587,0,46,0.81
4647,1,32,0.86
2554,1,50,0.63
1563,0,54,0.89
4305,1,65,0.69
3771,1,50,0.65
9634,0,58,0.83
7252,0,70,0.45
5814,0,46,0.8
6880,0,70,0.87
9291,1,62,0.83
8782,1,20,0.88
4799,1,29,0.91
6089,1,49,0.67
3143,1,31,0.86
8595,0,60,0.6
7492,0,62,0.65
3422,0,24,0.87
2166,1,32,0.84
1269,0,57,0.35
2949,1,71,0.88
1335,0,52,0.72
3880,0,63,0.84
6098,1,36,0.66
2738,0,62,0.64
7101,0,30,0.29
194,1,47,0.49
6985,0,26,0.89
7488,1,68,0.78
1788,1,74,0.86
4755,0,48,0.84
7882,1,40,0.75
593,1,35,0.66
361,0,55,0.48
5316,1,56,0.71
6640,1,39,0.55
5609,0,35,0.84
5222,0,51,0.79
2274,1,44,0.57
5116,1,40,0.56
2266,0,65,0.74
2513,0,75,0.79
5070,0,44,0.83
771,0,65,0.83
3677,1,41,0.86
13,0,57,0.68
5176,0,27,0.79
8665,1,35,0.79
3208,1,53,0.92
4714,0,46,0.67
120,0,26,0.86
4157,0,52,0.76
4229,0,44,0.58
2084,1,51,0.87
827,0,83,0.69
3168,0,70,0.65
2382,1,67,0.63
9044,1,60,0.68
6965,0,63,0.71
7369,1,30,0.79
4757,1,55,0.86
7892,1,36,0.73
6584,0,74,0.93
4587,1,21,0.71
7147,1,42,0.74
3142,0,53,0.76
9609,1,42,0.64
622,1,39,0.95
8282,0,57,0.48
1680,1,55,0.78
2654,0,28,0.71
7265,0,41,0.63
1030,1,73,0.85
3828,0,73,0.69
2635,1,52,0.79
3172,0,67,0.31
9502,1,34,0.92
6599,0,46,0.8
7051,1,50,0.43
3438,0,62,0.86
4689,0,44,0.79
898,0,47,0.54
7540,0,59,0.9
6597,1,27,0.78
2804,0,56,0.97
1922,1,61,0.83
4051,1,39,0.5
2924,1,39,0.49
3834,1,75,0.92
7521,1,38,0.86
4539,0,42,0.48
358,1,68,0.85
5436,1,49,0.57
7933,0,46,0.87
3723,0,48,0.89
998,1,51,0.38
9869,0,61,0.8
2332,0,64,0.28
7210,1,50,0.74
5980,1,40,0.55
8326,1,41,0.89
7767,0,49,0.53
6022,0,47,0.86
3955,1,58,0.92
3730,1,61,0.65
8551,1,34,0.67
9778,1,70,0.82
2006,0,40,0.46
7159,1,77,0.54
191,1,35,0.52
893,0,13,0.74
7044,0,60,0.46
2132,0,48,0.6
2451,1,30,0.85
2763,1,58,0.78
9147,0,40,0.84
8201,0,46,0.84
2277,0,47,0.38
3137,1,41,0.84
8376,1,76,0.67
256,0,49,0.76
4646,0,55,0.66
6800,0,84,0.75
1062,0,56,0.66
6207,0,55,0.83
7408,0,30,0.74
1832,0,28,0.77
7020,1,47,0.6
5133,1,74,0.67
471,0,47,0.56
4998,0,81,0.69
9186,0,39,0.74
759,1,86,0.83
3090,1,33,0.78
9776,1,30,0.76
6503,1,67,0.66
4947,0,41,0.89
3769,0,39,0.39
6456,1,64,0.94
8984,0,42,0.76
4486,0,32,0.71
5460,1,41,0.59
5335,0,55,0.63
4987,1,51,0.78
