ID,Gender,Age,StudentId,Attendance,TestScore
1975,female,62,80 Yq,0.89,82.03
1976,female,61,39 QL,0.97,71.25
1977,female,35,87 xn,0.72,43.28
1978,female,74,40 tc,0.93,81.66
1979,male,56,32 cW,0.89,67.22
1980,male,56,47 dM,0.71,53.66
1981,female,60,06 qN,0.86,92.26
1982,female,43,64 NI,0.72,77.78
1983,female,49,87 eF,0.78,68.77
1984,male,42,90 Ta,0.75,52.28
1985,female,46,86 UZ,0.48,21.77
1986,male,75,93 ZM,0.28,0.9
1987,male,53,05 AL,0.81,67.02
1988,male,49,32 KK,0.81,79.22
1989,male,47,52 qx,0.9,71.17
1990,male,80,74 ft,0.8,74.73
1991,male,49,22 Gk,0.68,51.09
1992,male,72,57 uB,0.49,47.92
1993,male,54,13 jC,0.69,64.29
1994,female,43,85 bO,0.6,61.49
1995,female,29,09 To,0.66,56.32
1996,male,59,11 vv,0.84,83.28
1997,male,62,08 sO,0.54,38.97
1998,male,16,18 TD,0.77,75.6
1999,female,42,77 MP,0.86,61.6
2000,female,47,93 QT,0.83,65.05
2001,female,42,96 jE,0.77,71.53
2002,male,56,17 DG,0.89,78.59
2003,female,37,58 Ux,0.91,76.18
2004,female,70,42 iR,0.87,69.73
2005,female,61,47 xQ,0.52,27.77
2006,female,79,32 AI,0.86,83.97
2007,female,74,42 Mn,0.74,79.25
2008,male,55,77 mj,0.57,69.42
2009,male,49,07 ss,0.79,73.66
2010,male,17,16 UM,0.49,44.92
2011,male,30,90 ti,0.75,46.19
2012,female,55,92 wK,0.57,46.3
2013,female,44,35 vN,0.83,87.67
2014,male,35,96 tF,0.65,58.16
2015,male,32,97 vg,0.77,53.91
2016,male,49,50 cg,0.51,25.84
2017,female,46,59 gK,0.91,73.7
2018,male,53,20 cD,0.81,70.97
2019,female,70,90 di,0.89,68.91
2020,female,62,20 YC,0.7,73.33
2021,male,61,74 Xt,0.81,77.34
2022,female,51,89 TD,0.57,46.79
2023,female,27,15 eQ,0.75,45.24
2024,female,59,37 MH,0.65,55.63
2025,female,27,16 nB,0.4,37.22
2026,male,39,59 ar,0.83,70.44
2027,female,73,03 Pl,0.87,85.15
2028,female,40,21 Yq,0.64,60.02
2029,male,41,69 mT,0.38,17.3
2030,male,49,14 NO,0.91,80.9
2031,male,38,46 kt,0.83,71.98
2032,male,47,85 Ra,0.77,50.95
2033,male,40,18 AQ,0.46,49.64
2034,male,48,19 hN,0.42,49.76
2035,female,36,90 tR,0.52,44.08
2036,female,38,06 wT,0.81,67.63
2037,female,45,51 iX,0.46,53.32
2038,female,51,04 yn,0.53,46.88
2039,male,60,73 cm,0.66,50.17
2040,female,67,43 ce,0.67,62.93
2041,male,24,59 Mw,0.75,59.24
2042,male,80,11 hQ,0.56,32.28
2043,female,42,05 Ln,0.89,68.56
2044,female,37,39 vf,0.82,67.33
2045,male,43,47 Mk,0.76,64.28
2046,male,38,03 SJ,0.85,63.68
2047,male,54,09 Qy,0.72,56.77
2048,male,25,59 rR,0.55,22.49
2049,female,29,19 cI,0.42,30.81
2050,male,47,49 qE,0.83,53.46
2051,male,43,66 Iy,0.58,49.68
2052,female,45,33 pT,0.7,60.42
2053,female,63,93 Pl,0.68,51.19
2054,female,43,19 Rg,0.84,78.03
2055,male,42,12 yk,0.59,28.72
2056,female,63,95 Vq,0.84,83.6
2057,female,29,64 lf,0.92,73.44
2058,male,56,99 np,0.91,73.29
2059,male,53,97 wX,0.4,27.32
2060,female,62,62 xY,0.66,69.94
2061,female,75,51 GM,0.94,86.54
2062,male,25,39 mb,0.33,20.53
2063,male,29,05 XF,0.73,59.89
2064,female,48,27 nl,0.85,67.39
2065,female,57,83 yw,0.69,66.16
2066,female,52,04 VW,0.9,85.15
2067,female,35,76 bo,0.95,89.58
2068,male,47,21 If,0.76,81.86
2069,female,61,69 qm,0.6,30.73
2070,male,45,86 SI,0.74,77.41
2071,female,27,20 tT,0.61,66.37
2072,male,47,14 MW,0.95,77.52
2073,male,44,69 MM,0.99,91.74
2074,female,43,07 sD,0.51,36.51
2075,female,51,60 TI,0.48,45.18
2076,female,22,74 PL,0.98,92.71
2077,female,49,45 uM,0.8,85.83
2078,male,67,97 cW,0.67,76.59
2079,female,88,44 qf,0.69,54.26
2080,male,14,61 dY,0.95,84.61
2082,male,40,78 AW,0.48,30.01
2083,female,39,26 Rj,0.63,43.7
2084,female,54,43 Ny,0.49,25.94
2085,female,26,79 Ee,0.65,66.7
2086,female,37,30 VC,0.69,44.84
2087,male,47,58 rm,0.9,90.85
2088,male,37,42 lz,0.37,27.85
2089,female,61,19 Tb,0.62,67.81
2090,male,31,97 rP,0.93,90.39
2091,female,67,71 dv,0.94,88.47
2092,male,41,37 by,0.63,38.34
2093,female,55,52 lW,0.49,21.69
2094,female,32,47 tj,0.89,75.52
2095,female,58,69 aG,0.67,65.42
2096,female,48,28 RB,0.7,67.86
2097,male,71,39 OB,0.72,74.16
2098,female,55,37 uV,0.83,67.6
2099,female,28,19 XI,0.74,69.28
2100,female,43,72 Ba,0.92,76.58
2101,male,49,31 Nh,0.65,52.69
2102,female,59,88 oj,0.87,83.72
2103,male,47,70 Wm,0.59,34.79
2104,male,41,96 pr,0.87,79.33
2105,male,58,64 ee,0.41,44.42
2106,female,56,17 KA,0.75,57.59
2107,male,51,04 RY,0.72,56.73
2108,female,35,61 Iz,0.86,78.42
2109,female,37,57 gx,0.89,87.5
2110,male,78,52 mY,0.84,72.34
2111,female,68,00 xC,0.64,34.4
2112,female,51,47 hz,0.87,74.4
2113,male,58,26 rj,0.77,66.02
2114,female,39,77 Rq,0.8,71.55
2115,female,81,87 Xz,0.92,57.52
2116,female,49,66 Od,0.81,68.72
2117,female,90,88 Kp,0.55,54.12
2118,female,62,77 na,0.89,86.43
2119,female,37,76 IF,0.49,42.01
2120,male,73,55 Bo,0.67,56.08
2121,male,37,23 vs,0.81,74.01
2122,female,54,22 As,0.77,52.79
2123,male,39,63 Uy,0.79,63.36
2124,female,52,19 Jy,0.79,78.9
2125,female,72,19 LP,0.74,63.83
2126,male,37,49 Mx,0.61,58.52
2127,female,39,23 kl,0.93,67.54
2128,male,15,64 qv,0.66,67.88
2129,male,41,90 WE,0.51,51.17
2130,female,53,92 am,0.76,70.17
2131,female,68,06 qr,0.8,66.46
2132,male,43,09 zb,0.88,75.7
2133,male,48,73 zA,0.89,76.71
2134,male,58,72 kf,0.77,50.88
2135,female,26,71 LG,0.87,68.34
2136,male,48,82 Zr,0.83,57.68
2137,male,47,52 xO,0.51,38.26
2138,female,44,63 JY,0.73,52.36
2139,male,41,30 OY,0.94,95.36
2140,male,24,35 Ha,0.79,55.87
2141,female,93,78 RB,0.94,81.57
2142,female,23,98 kG,0.51,52.87
2143,female,45,44 fq,0.91,77.19
2144,female,68,02 fv,0.7,68.15
2145,male,66,27 Nm,0.6,38.13
2146,male,43,04 rn,0.83,59.33
2147,female,34,35 nw,0.9,82.31
2148,male,72,65 Rm,0.9,92.02
2149,female,58,31 Nf,0.81,89.13
2150,male,39,09 wJ,0.76,78.85
2151,female,66,97 ST,0.88,62.1
2152,male,58,13 cn,0.68,71.69
2153,female,58,31 wR,0.8,65.37
2154,female,61,65 Tv,0.72,59.82
2155,male,44,37 Mr,0.61,64.47
2156,male,54,66 bP,0.86,70.4
2157,female,67,25 TB,0.74,59.29
2158,female,33,80 od,0.89,85.6
2159,male,51,99 YV,0.94,96.25
2160,male,48,38 my,0.6,49.04
2162,female,32,10 eN,0.7,64.27
2163,female,36,03 AZ,0.94,78.48
2164,female,47,18 dt,0.88,75.26
2165,female,46,66 NZ,0.52,54.69
2166,female,52,45 rk,0.75,70.41
2167,male,42,65 Zz,0.92,69.84
2168,female,55,02 nw,0.8,78.98
2169,female,47,61 IZ,0.94,84.09
2170,female,42,99 mj,0.88,82.18
2171,female,45,75 UB,0.61,60.23
2172,male,66,37 he,0.74,56.75
2173,female,46,29 SE,0.96,97.86
2174,male,52,81 UB,0.91,68.65
2175,male,50,86 pP,0.55,37.92
2176,male,68,65 Nn,0.54,83.9
2177,male,63,89 Vt,0.91,77.31
2178,male,75,18 sF,0.89,74.41
2179,male,51,57 fH,0.48,32.58
2180,female,81,91 vR,0.44,27.33
2181,female,85,91 Hb,0.93,73.34
2182,male,60,87 eS,0.62,38.67
2183,male,55,55 KX,0.77,61.92
2184,male,41,47 aw,0.71,66.64
2185,male,49,87 BW,0.77,70.57
2186,male,56,49 fU,0.92,74.43
2187,female,51,19 Cx,0.52,30.34
2188,male,53,35 go,0.46,32.6
2189,female,31,51 SK,0.78,66.02
2190,male,51,54 mc,0.6,37.64
2191,female,33,51 sf,0.75,72.37
2192,male,60,42 vV,0.84,74.05
2193,female,45,86 Cy,0.9,74.03
2194,female,54,67 oV,0.82,77.2
2195,female,32,97 yh,0.84,60.25
2196,male,49,02 Gm,0.44,30.6
2197,male,42,63 YF,0.71,52.1
2198,female,65,67 Ff,0.88,66.86
2199,male,59,28 uy,0.87,63.9
2200,male,49,05 Xa,0.96,80.14
2201,female,48,83 fr,0.32,22.76
2202,female,62,56 RV,0.63,35.34
2203,male,77,26 YD,0.79,84.99
2204,male,54,96 WZ,0.91,89.07
2205,male,69,85 CI,0.94,84.61
2207,male,51,94 mU,0.67,59.52
2208,female,23,35 xP,0.7,46.14
2209,female,58,33 dO,0.65,54.26
2210,female,61,10 Xk,0.87,75.53
2211,female,69,11 Rq,0.55,40.92
2212,male,34,86 sn,0.82,68.85
2213,female,45,32 KT,0.7,47.07
2214,female,57,88 ld,0.81,74.03
2215,male,56,18 yz,0.7,54.03
2216,female,68,68 kn,0.88,83.99
2217,female,61,63 Eg,0.63,49.15
2218,female,61,46 dY,0.73,60.38
2219,female,61,14 QJ,0.63,70.21
2220,female,49,05 ct,0.4,35.64
2221,male,51,28 dt,0.92,92.48
2222,male,58,08 eZ,0.61,46.05
2223,male,24,46 ro,0.62,55.41
2224,female,64,42 mW,0.8,78.89
2225,male,44,15 Og,0.49,28.53
2226,male,47,61 Gi,0.88,80.1
2227,female,92,92 lJ,0.71,79.86
2228,male,48,05 Tw,0.73,63.42
2229,male,44,88 Ce,0.68,74.78
2230,male,31,32 Ph,0.79,84.69
2231,male,54,70 EY,0.43,30.91
2232,female,38,37 Ns,0.56,43.67
2233,male,18,83 du,0.31,4.72
2234,male,52,49 CJ,0.81,67.8
2235,female,19,59 Sx,0.75,38.24
2236,female,24,72 HJ,0.55,47.09
2237,female,62,62 BJ,0.72,58.42
2238,female,82,22 np,0.47,42.98
2239,male,40,57 gq,0.84,75.2
2240,female,45,47 Xm,0.72,55.73
2241,female,42,27 aG,0.4,34.02
2243,female,42,65 XL,0.86,76.04
2244,female,40,79 SN,0.6,53.13
2245,female,30,93 Ej,0.94,93.73
2246,female,33,36 Hj,0.83,89.37
2247,male,59,71 cA,0.65,66
2248,female,41,35 EV,0.89,70.48
2249,female,38,67 FS,0.87,91.4
2250,male,66,49 Jk,0.57,56.63
2251,male,51,45 GA,0.77,72.28
2252,female,34,62 sg,0.83,78.42
2253,female,66,86 HS,0.58,52.99
2254,male,57,03 vC,0.38,16.84
2255,male,50,06 eJ,0.61,60.23
2256,female,58,22 dA,0.77,73.97
2257,female,66,12 wB,0.81,82.55
2258,male,45,82 tU,0.79,75.5
2259,female,52,70 wd,0.81,82.18
2260,female,59,30 Em,0.7,49.95
2261,male,60,79 Or,0.81,80.81
2262,male,50,32 LL,0.75,64.73
2263,female,61,60 JI,0.81,86.76
2264,female,49,86 vy,0.48,45.07
2265,female,47,55 oA,0.86,76.39
2266,female,62,72 tH,0.86,85.44
2267,female,32,75 WS,0.7,78.43
2268,male,51,35 Oz,0.53,42.69
2269,female,60,12 dh,0.81,75.63
2270,male,59,62 Qy,0.79,58.28
2271,female,71,59 KX,0.71,57.7
2272,female,68,25 Uz,0.92,74.81
2273,female,43,13 nl,0.92,81.04
2274,female,45,41 Ed,0.43,44.53
2275,female,36,29 Mi,0.74,53.98
2276,female,38,59 Mw,0.72,63.29
2277,female,51,74 SN,0.97,91.48
2278,female,42,92 fi,0.73,47.41
2280,male,47,59 BV,0.92,69.02
2281,female,18,10 QM,0.84,73.38
2282,male,59,39 sE,0.74,56.17
2283,female,44,27 nI,0.46,47.26
2284,male,51,22 eD,0.96,65.48
2286,female,48,15 EO,0.87,65.39
2287,female,54,78 lI,0.6,39.67
2288,male,42,29 Jf,0.66,75.03
2289,male,62,29 WZ,0.75,44.6
2290,female,54,95 Ij,0.63,71.72
2291,male,74,18 fT,0.75,76.49
2292,female,26,59 hg,0.91,81.61
2293,male,49,98 wx,0.87,73.67
2294,female,46,00 hT,0.78,88.36
2295,female,35,05 Xy,0.7,56.82
2296,female,31,28 CM,0.88,71.69
2297,male,66,63 cl,0.85,66.83
2298,female,54,30 Ob,0.55,54.42
2299,male,65,88 Ru,0.74,54.48
2300,female,34,06 zB,0.74,64.81
2301,male,29,97 Pb,0.91,63.03
2302,male,33,53 jd,0.52,37.56
2303,female,49,92 pG,0.62,57.49
2304,male,59,93 pX,0.95,96.53
2305,female,34,69 Nu,0.69,55.27
2306,female,60,03 ZM,0.83,64.78
2307,female,44,91 Jn,0.57,58.23
2308,female,52,04 mz,0.92,77.3
2309,female,50,14 hE,0.57,56.77
2310,male,47,11 GJ,0.38,33.29
2311,female,54,10 le,0.76,45.38
2312,female,43,12 aV,0.8,57.86
2313,male,82,35 mT,0.48,36.35
2314,female,56,27 bB,0.59,71.43
2315,male,60,85 Lf,0.84,94.72
2316,female,37,49 qv,0.73,68.07
2317,female,42,63 dH,0.85,91.89
2318,male,28,11 nI,0.41,41.52
2319,female,51,35 zk,0.76,45.64
2320,female,45,75 nL,0.72,76.92
2321,male,49,15 bz,0.75,67.89
2322,male,51,28 sC,0.62,47.56
2323,female,74,97 eK,0.75,64.46
2324,male,59,46 CN,0.59,43.67
2325,male,44,05 Uz,0.74,63.27
2326,male,74,56 KK,0.91,75.66
2327,female,38,95 Vr,0.78,69.24
2328,male,67,52 WN,0.83,57.18
2329,male,57,71 xZ,0.66,57.46
2330,female,56,08 jW,0.7,63.88
2331,male,60,11 nL,0.76,64.46
2332,female,53,31 ae,0.82,63.99
2333,male,42,52 Tk,0.53,31.29
2334,male,74,84 aW,0.82,71.11
2335,male,78,99 FJ,0.55,51.97
2336,male,45,29 zk,0.83,79.77
2337,male,49,51 zv,0.56,42
2338,female,56,28 VB,0.79,70.37
2339,male,54,28 IW,0.7,50.38
2340,female,44,80 lF,0.73,56.53
2341,male,71,34 hQ,0.92,85.44
2342,female,76,27 Dp,0.95,79.26
2343,male,28,16 ZL,0.83,70.8
2344,female,42,04 bd,0.72,57.41
2345,male,40,31 pO,0.87,83.68
2346,female,51,05 HR,0.86,83.76
2347,male,43,54 mx,0.9,91.45
2348,male,59,36 ZU,0.56,52.47
2349,female,60,42 ci,0.67,57
2350,female,38,62 mK,0.97,77.41
2351,male,31,05 rJ,0.87,54.42
2352,male,75,47 dL,0.32,16.82
2353,female,42,71 gJ,0.54,33.72
2354,male,30,31 vI,0.91,92.2
2355,male,63,16 Jk,0.55,41.09
2356,female,57,63 Fz,0.37,30.21
2357,male,29,50 Eb,0.46,37.27
2358,male,37,91 Gf,0.64,61.89
2359,male,57,42 xm,0.5,50.27
2360,female,58,33 qr,0.74,72.32
2361,female,56,35 wR,0.56,45.28
2362,male,61,14 hW,0.34,24.2
2363,female,65,44 sn,0.95,71.92
2364,female,55,36 FE,0.89,66.26
2365,male,64,07 tC,0.28,26.79
2366,female,39,00 HS,0.91,83.48
2367,female,74,09 ad,0.67,45.29
2368,female,44,24 mr,0.39,51.21
2369,female,56,97 UP,0.59,42.82
2370,female,60,57 yO,0.88,83.76
2372,female,51,55 Cw,0.68,52.81
2373,male,22,27 Uj,0.51,38.64
2374,male,56,19 ik,0.68,56.61
2375,male,57,05 VD,0.71,42.89
2376,female,77,07 Xz,0.69,77.64
2377,male,46,68 kV,0.72,72.98
2378,female,58,99 vo,0.71,74.45
2379,male,58,40 MQ,0.72,73.39
2380,female,51,14 Zy,0.57,36.33
2381,male,46,01 tf,0.69,66.23
2382,male,17,46 NY,0.69,64.7
2383,female,51,99 Vs,0.76,63.29
2384,female,52,92 Vp,0.56,65.78
2385,female,33,23 Jx,0.72,58.82
2386,male,42,17 vv,0.68,63.55
2387,male,62,65 Pz,0.63,48.29
2388,female,56,91 wT,0.9,96.89
2389,female,51,74 bw,0.72,74.07
2390,male,49,38 IZ,0.61,59.21
2391,female,45,87 LH,0.51,34.79
2392,female,44,22 Ox,0.6,49.24
2393,male,61,57 aZ,0.67,63.14
2394,male,65,01 eU,0.82,73.61
2395,male,53,47 Ol,0.91,76.41
2396,male,68,41 JJ,0.88,63.45
2397,female,30,08 Rh,0.5,38.82
2398,female,39,68 Pq,0.73,72.4
2399,male,27,08 vP,0.4,32.6
2400,female,65,25 FR,0.81,68
2401,male,29,64 cn,0.84,64.05
2402,female,48,98 Jb,0.71,61.08
2403,female,57,75 Ng,0.87,75.12
2404,male,50,44 MU,0.67,45.64
2405,female,53,44 KH,0.67,70.9
2406,female,77,78 Ck,0.94,85.74
2407,female,46,99 Rx,0.93,77.46
2408,female,35,43 pm,0.72,59.27
2409,male,59,18 Tq,0.79,77.42
2410,male,34,89 ja,0.76,48.13
2411,male,58,86 lX,0.71,47.74
2412,female,51,37 jV,0.75,65.64
2413,female,58,01 vs,0.89,86.94
2414,female,52,93 fJ,0.85,79.25
2415,male,21,90 JM,0.81,71.94
2416,female,67,94 jz,0.63,48.19
2417,female,60,36 jc,0.6,51
2418,female,83,59 FK,0.8,63.11
2419,female,49,03 Co,0.67,56.55
2420,female,49,37 Ap,0.94,85.01
2421,male,58,82 NA,0.77,64.32
2422,male,30,88 Om,0.5,38.97
2423,female,51,63 eF,0.75,70.07
2424,male,32,91 ZZ,0.5,37.12
2425,female,52,33 ov,0.6,50.11
2426,male,19,07 lX,0.83,52.89
2427,female,59,35 YO,0.8,77.44
2428,female,50,16 Yg,0.65,57.7
2429,male,43,43 vz,0.8,85.03
2430,female,62,57 qy,0.62,63.54
2431,male,45,10 Im,0.99,72.42
2432,female,47,91 Nh,0.61,56.45
2433,male,54,80 zD,0.85,65.97
2434,male,75,25 Jp,0.9,72.23
2435,male,50,99 qn,0.37,37.74
2436,female,40,65 Io,0.76,69.43
2437,male,44,55 UQ,0.98,98.03
2438,female,69,41 qu,0.74,79.37
2439,male,51,63 rQ,0.64,69.03
2440,female,70,85 iF,0.59,44.68
2441,female,32,42 bc,0.83,67.07
2442,male,28,82 oj,0.82,66.78
2443,female,62,08 qO,0.79,82.53
2444,female,44,68 yw,0.77,69.44
2445,female,89,83 VU,0.44,32.01
2446,female,43,80 Fl,0.7,66.52
2447,female,41,32 bd,0.83,80.04
2448,female,40,56 yS,0.88,76.83
2449,female,34,48 ir,0.87,85.19
2450,female,50,89 qs,0.76,61.99
2451,male,50,12 Ze,0.57,41.8
2452,male,46,03 FR,0.8,61.08
2453,female,51,22 Rd,0.82,83.09
2454,male,28,72 AB,0.97,92.69
2455,female,28,79 za,0.88,64.05
2456,male,44,42 ns,0.82,84.14
2457,female,59,16 gr,0.81,83.15
2458,male,65,79 rX,0.63,52.37
2459,female,54,63 eP,0.68,63.94
2460,male,63,73 rf,0.58,55.46
2461,female,46,08 Oo,0.85,84.83
2462,male,48,60 Rv,0.92,95.22
2463,female,59,19 KE,0.84,71.84
2464,male,59,48 tR,0.91,75.83
2465,female,14,72 XB,0.82,72.34
2466,female,18,62 gb,0.91,75.99
2467,male,30,87 AC,0.4,30.36
2468,female,60,99 yT,0.7,51.46
2469,female,53,33 uj,0.63,67.13
2470,female,38,54 XB,0.71,53.98
2471,female,41,47 yU,0.78,65.16
2472,female,38,00 Bc,0.72,58.85
2473,female,58,47 Rn,0.75,62.67
2474,male,25,23 Fv,0.58,54.06
2475,female,30,53 XP,0.95,84.66
2476,female,34,21 Xr,0.61,42.91
2477,female,48,71 WF,0.54,48.29
2478,male,61,59 ko,0.86,69.17
2479,male,42,87 sP,0.73,62.43
2480,female,31,35 sM,0.81,65.06
2481,male,45,37 vD,0.83,64
2482,female,52,02 XS,0.63,42.97
2483,male,50,32 tL,0.68,65.37
2484,female,35,05 Ot,0.76,63.63
2485,female,30,62 rq,0.85,58.65
2486,female,59,30 SN,0.81,76.01
2487,male,47,99 LK,0.57,55.83
2488,female,47,08 wp,0.88,69.31
2489,male,45,68 FT,0.5,25.84
2490,male,43,51 sj,0.81,74.7
2491,female,45,66 cB,0.81,64.43
2492,female,55,72 SG,0.54,31.72
2493,male,45,89 dD,0.62,55.41
2494,female,54,29 Fk,0.66,48.75
2495,female,41,44 Ee,0.89,81.41
2496,male,52,49 Am,0.94,80.29
2497,male,52,17 BJ,0.75,81.99
2498,female,46,26 fr,0.53,46.61
2499,male,74,92 yT,0.65,45.73
2500,female,35,45 Pc,0.85,65.66
2501,male,41,04 YQ,0.71,97.79
2502,male,48,30 Bx,0.57,57.38
2503,male,28,45 rQ,0.63,48.66
2504,female,64,28 Be,0.7,66.07
2505,female,64,22 vL,0.44,32.02
2506,male,38,46 cq,0.92,91.94
2507,male,42,42 Ec,0.62,40.73
2508,male,47,89 YB,0.62,48.09
2509,male,45,33 pt,0.35,10.82
2510,female,72,66 cO,0.95,70.95
2511,female,72,97 Xv,0.76,55.29
2512,female,51,59 jK,0.7,71.92
2513,male,47,58 bT,0.52,55.03
2514,female,48,89 nj,0.93,76.82
2515,female,45,20 TI,0.94,80
2516,female,43,22 Se,0.77,72.89
2517,female,49,87 mP,0.96,92.43
2518,female,39,46 hJ,0.81,68.13
2519,male,47,15 tz,0.74,75.56
2520,male,27,43 Oy,0.69,51.01
2521,female,34,90 Ci,0.64,55.51
2522,male,50,98 MT,0.49,33.98
2523,male,57,21 Bx,0.66,46.49
2524,male,56,56 fm,0.61,56.58
2525,female,67,26 oW,0.85,71.93
2526,male,39,34 Pf,0.82,73.12
2527,female,24,58 go,0.54,63.68
2528,female,59,23 vP,0.64,65.12
2529,male,31,27 iw,0.8,80.64
2530,female,43,22 UB,0.88,72.22
2531,male,46,24 Da,0.77,60.73
2532,female,52,15 Ii,0.78,59.29
2533,female,59,01 dR,0.65,43.91
2534,female,61,76 Sd,0.9,82.73
2535,male,53,23 ta,0.62,54.16
2536,female,37,89 Yn,0.62,56.31
2537,male,47,27 yJ,0.94,83.38
2538,male,55,10 Lj,0.88,82.33
2539,male,32,17 WI,0.45,21.09
2540,female,60,17 pr,0.6,57.43
2541,female,34,63 wV,0.88,73.05
2542,male,18,10 Ui,0.66,66.42
2543,male,85,16 zJ,0.87,57.6
2544,female,39,78 Eb,0.52,48.14
2545,male,42,81 Sf,0.69,61.9
2546,female,57,60 um,0.63,38.9
2547,male,75,44 mo,0.79,80.08
2548,male,45,52 Ea,0.94,94.28
2549,female,31,00 Cr,0.87,76.32
2550,female,46,89 vh,0.81,72.9
2551,female,74,40 QJ,0.75,51.34
2552,female,52,92 Ml,0.85,73.4
2553,male,36,69 tx,0.78,72.74
2554,female,50,05 oj,0.67,44.44
2555,male,63,83 ZB,0.61,46.12
2556,male,33,86 XS,0.67,49.06
2557,male,30,78 Gb,0.67,64.31
2558,male,56,42 iV,0.78,66.16
2559,female,53,14 Te,0.48,28.07
2560,male,47,57 HH,0.91,82.63
2561,male,41,27 KX,0.96,88.67
2562,male,68,67 lC,0.64,72.38
2563,male,50,95 Ct,0.7,64.49
2564,female,72,07 eA,0.88,81.03
2565,male,58,12 ew,0.54,39.03
2566,female,61,56 Mq,0.55,54.85
2567,male,39,50 Qr,0.83,65.68
2568,male,59,24 mX,0.52,37.68
2569,female,52,31 AC,0.49,42.67
2570,female,58,33 Jn,0.79,65.85
2571,female,81,09 bD,0.8,82.38
2572,female,46,34 SB,0.68,52.58
2573,male,42,57 dy,0.72,78.78
2574,female,9,03 xS,0.67,61.75
2575,female,57,29 GE,0.96,92.88
2576,female,34,51 ju,0.87,81.11
2577,male,42,76 Ld,0.68,60.72
2578,female,65,26 Za,0.84,76.15
2579,female,69,62 Qd,0.83,63.94
2580,female,81,36 ZZ,0.52,42.63
2581,male,46,41 yb,0.69,63.66
2582,male,65,03 fP,0.82,77.44
2583,male,56,46 IX,0.69,64.12
2585,female,28,70 Ak,0.91,90.88
2586,female,19,99 II,0.86,60.4
2587,female,49,84 zF,0.81,70.86
2588,male,35,29 Wm,0.9,87.96
2589,female,50,79 Hm,0.63,46.96
2590,female,51,13 VK,0.65,51.23
2591,male,39,10 Pr,0.72,60.09
2592,female,60,26 kX,0.6,46.02
2593,male,64,03 Sv,0.84,60.38
2594,female,49,30 UV,0.81,56.27
2595,male,30,38 bI,0.73,74.84
2596,female,43,86 MR,0.87,73.2
2597,female,77,71 bq,0.84,67.43
2598,male,62,79 qF,0.79,76.39
2599,male,21,17 mE,0.79,66.72
2600,male,68,67 bW,0.7,54.76
2601,female,49,90 gY,0.91,82.53
2602,female,70,43 Xs,0.69,54.55
2603,female,38,58 mP,0.88,82.25
2604,male,49,48 KW,0.65,54.19
2605,female,14,50 Ax,0.79,64.01
2606,male,35,98 Lu,0.89,66.94
2607,female,42,46 lB,0.85,67.51
2608,male,43,29 wr,0.7,75.76
2609,female,52,45 nB,0.82,88.36
2610,male,52,49 oP,0.72,57.26
2611,male,70,15 hA,0.97,93.25
2612,male,57,74 zr,0.72,67.21
2613,male,54,80 Dc,0.85,78.19
2614,female,49,97 Qy,0.63,33.33
2615,female,66,23 RN,0.76,48.62
2616,male,76,31 JU,0.97,99.23
2617,male,71,79 Ku,0.81,75.43
2618,male,43,29 fP,0.88,94.05
2619,male,26,39 jj,0.8,62.68
2620,female,36,52 rb,0.73,63.27
2621,female,46,90 Gi,0.69,69.83
2622,male,35,95 uk,0.56,44.81
2623,female,42,06 Lx,0.6,48.02
2624,male,52,62 yu,0.79,82.61
2625,female,47,07 rr,0.83,78.42
2626,male,70,95 qL,0.67,44.53
2627,female,55,93 XW,0.79,46.55
2628,female,60,32 MQ,0.78,58.01
2629,male,59,62 nN,0.41,38.25
2630,female,40,82 ld,0.87,72.48
2631,male,51,93 cn,0.93,83.42
2632,female,56,51 xz,0.69,61.56
2633,male,61,90 WX,0.81,57.87
2634,female,45,82 bm,0.71,62.75
2635,male,20,40 MW,0.65,55.04
2636,female,67,30 BG,0.89,83.21
2637,male,47,78 CX,0.83,77.56
2638,female,50,86 HL,0.84,80.19
2639,female,30,59 sV,0.86,66.54
2640,female,55,98 Wp,0.82,56.66
2641,female,55,32 Xc,0.65,62.71
2642,male,46,25 xH,0.61,48.34
2643,male,62,70 FM,0.77,75.16
2644,female,38,42 zw,0.67,65.76
2645,female,47,59 BU,0.65,45.46
2646,female,50,26 zw,0.91,74.19
2647,male,36,35 an,0.42,36.02
2648,male,39,59 SR,0.62,51.19
2649,male,63,93 er,0.65,42.66
2650,female,61,45 CC,0.87,74.21
2651,male,32,13 Ka,0.85,72.29
2652,male,34,70 gJ,0.8,67.89
2653,male,60,41 pJ,0.66,60.5
2654,female,48,02 QE,0.68,42.87
2655,male,56,16 pT,0.58,61.89
2656,female,25,47 HN,0.69,56.75
2657,female,43,41 LK,0.75,65.54
2658,male,49,54 Lm,0.79,66.17
2659,male,47,53 Hi,0.67,51.97
2660,female,43,93 aK,0.79,62.56
2661,male,39,94 kh,0.98,86.82
2662,female,40,32 WT,0.73,78.13
2663,female,58,47 Ej,0.77,55.85
2664,male,43,77 Hv,0.9,84.11
2665,male,49,12 ms,0.76,79.81
2666,male,40,16 uu,0.75,63.66
2667,male,58,61 EX,0.92,80.45
2668,female,58,18 rD,0.84,77.46
2669,male,25,10 Ir,0.81,87.04
2670,female,52,61 ND,0.79,60.2
2671,female,59,89 gB,0.69,50.48
